CatNo,Category,Keywords
841,Retail Trade,
47,Autos & Vehicles,
1190,Automotive Industry,
1191,Bicycles & Accessories,
1140,Boats & Watercraft,
1213,Campers & RVs,
1013,Classic Vehicles,
1214,Commercial Vehicles,
806,Custom & Performance Vehicles,
810,Hybrid & Alternative Vehicles,
1317,Microcars & City Cars,
273,Motorcycles,
148,Off-Road Vehicles,
1147,Personal Aircraft,
1212,Scooters & Mopeds,
610,Trucks & SUVs,
815,Vehicle Brands,
1294,Vehicle Codes & Driving Laws,
170,Vehicle Licensing & Registration,
138,Vehicle Maintenance,
89,Vehicle Parts & Accessories,
473,Vehicle Shopping,
803,Vehicle Shows,
121,Grocery & Food Retailers,
276,Restaurants,
650,Building Materials & Supplies,
73,Mass Merchants & Department Stores,
355,Book Retailers,
1146,Video Game Retailers,
18,Shopping,
1225,Wholesalers & Liquidators,
270,Home Furnishings,
659,Oil & Gas,
1268,Fuel Economy & Gas Prices,
38,Insurance,
844,Retail Equipment & Technology,
614,Ticket Sales,