,Actual Retail Sales,Fitted Retail Sales,Predicted Retail Sales,0.025,0.975,Mean (Prediction invertal)
2004-02-01,28719948.0,,,,,
2004-03-01,28689514.0,28771742.28117746,,,,
2004-04-01,28254086.0,28542468.16594459,,,,
2004-05-01,28554094.0,28788574.41854921,,,,
2004-06-01,28550528.0,28809370.134923305,,,,
2004-07-01,28616168.0,28857584.1054577,,,,
2004-08-01,28836665.0,29002919.000044074,,,,
2004-09-01,29243662.0,29274519.224562135,,,,
2004-10-01,29561177.0,29502553.374879062,,,,
2004-11-01,29901036.0,29725000.8225948,,,,
2004-12-01,29593609.0,29640025.38019208,,,,
2005-01-01,29888781.0,29826863.025804453,,,,
2005-02-01,30460620.0,30245427.8113937,,,,
2005-03-01,30006264.0,29993080.739152722,,,,
2005-04-01,29940271.0,30013004.670081686,,,,
2005-05-01,29935878.0,30020698.53953548,,,,
2005-06-01,30590992.0,30325162.911400955,,,,
2005-07-01,30800241.0,30476472.74014731,,,,
2005-08-01,30647393.0,30437698.724724416,,,,
2005-09-01,30600008.0,30480741.678719502,,,,
2005-10-01,30887481.0,30683936.75251752,,,,
2005-11-01,31012789.0,30712819.111936796,,,,
2005-12-01,31230056.0,30896716.182625573,,,,
2006-01-01,31747679.0,31279318.68348484,,,,
2006-02-01,31744450.0,31319976.18339682,,,,
2006-03-01,31871717.0,31415701.92619251,,,,
2006-04-01,32354405.0,31761655.412346832,,,,
2006-05-01,32048264.0,31640361.7487667,,,,
2006-06-01,32242363.0,31859460.63056598,,,,
2006-07-01,33040218.0,32405632.981415544,,,,
2006-08-01,33007575.0,32413175.74734028,,,,
2006-09-01,32492838.0,32114732.89197791,,,,
2006-10-01,32595465.0,32191930.5148638,,,,
2006-11-01,32814138.0,32332654.62606941,,,,
2006-12-01,33515367.0,32845112.795754094,,,,
2007-01-01,33221023.0,32725813.53773308,,,,
2007-02-01,33466188.0,32920081.201334823,,,,
2007-03-01,33910296.0,33237826.09702914,,,,
2007-04-01,34385868.0,33527890.558216892,,,,
2007-05-01,34789277.0,33836878.695912525,,,,
2007-06-01,34436278.0,33629113.290704384,,,,
2007-07-01,34430726.0,33708438.27324144,,,,
2007-08-01,34725483.0,33924968.62685798,,,,
2007-09-01,34341226.0,33712642.06875155,,,,
2007-10-01,34305870.0,33724212.06667334,,,,
2007-11-01,34958995.0,34190265.3977979,,,,
2007-12-01,35625285.0,34529064.27088676,,,,
2008-01-01,35933156.0,34808536.580699034,,,,
2008-02-01,35526909.0,34620237.976348855,,,,
2008-03-01,35530142.0,34630172.69908106,,,,
2008-04-01,35914167.0,34936926.37669538,,,,
2008-05-01,36006888.0,35050331.04691854,,,,
2008-06-01,36400129.0,35334018.818406485,,,,
2008-07-01,36403867.0,35370112.11821183,,,,
2008-08-01,36137537.0,35202694.58196287,,,,
2008-09-01,36390521.0,35430973.55926918,,,,
2008-10-01,35747571.0,35067675.32135191,,,,
2008-11-01,34661690.0,34469358.95664923,,,,
2008-12-01,33303365.0,33741210.98588046,,,,
2009-01-01,33790507.0,34117826.102400675,,,,
2009-02-01,33861903.0,34198278.01899262,,,,
2009-03-01,33838239.0,34196348.77108726,,,,
2009-04-01,33932693.0,34302528.75667628,,,,
2009-05-01,34366762.0,34609945.60713401,,,,
2009-06-01,34752611.0,34929463.69241145,,,,
2009-07-01,34734947.0,34957527.11865479,,,,
2009-08-01,34958551.0,35130672.14279681,,,,
2009-09-01,35271163.0,35359737.31695735,,,,
2009-10-01,35442041.0,35534011.43423912,,,,
2009-11-01,35094920.0,35379266.13795447,,,,
2009-12-01,35671435.0,35726305.71511989,,,,
2010-01-01,36091102.0,35993520.1421228,,,,
2010-02-01,36048207.0,36018256.705051355,,,,
2010-03-01,36872345.0,36576454.16017233,,,,
2010-04-01,36394220.0,36293478.35537476,,,,
2010-05-01,36050622.0,36047929.36125224,,,,
2010-06-01,36308653.0,36299946.482344195,,,,
2010-07-01,36357428.0,36413210.423902914,,,,
2010-08-01,36453361.0,36457208.82589936,,,,
2010-09-01,36569715.0,36577486.81945017,,,,
2010-10-01,36837126.0,36844828.55918314,,,,
2010-11-01,37538580.0,37357003.17165434,,,,
2010-12-01,37436674.0,37310285.154644065,,,,
2011-01-01,37311614.0,37316547.55553647,,,,
2011-02-01,37417919.0,37490725.426868536,,,,
2011-03-01,37624315.0,37720587.29189564,,,,
2011-04-01,37883034.0,37912224.94207145,,,,
2011-05-01,37736236.0,37869380.60310774,,,,
2011-06-01,38120856.0,38132889.88613625,,,,
2011-07-01,37897036.0,38033012.378198646,,,,
2011-08-01,38004303.0,38178990.15513795,,,,
2011-09-01,38283380.0,38373723.24609697,,,,
2011-10-01,38583801.0,38600823.71075152,,,,
2011-11-01,38694229.0,38755845.11433409,,,,
2011-12-01,39173620.0,39111686.28300694,,,,
2012-01-01,38958802.0,39109577.591822006,,,,
2012-02-01,38861395.0,39119665.41263377,,,,
2012-03-01,39198162.0,39409562.63972162,,,,
2012-04-01,38843751.0,39237296.39114596,,,,
2012-05-01,38791914.0,39241090.281682834,,,,
2012-06-01,38764063.0,39290787.44977139,,,,
2012-07-01,38857340.0,39447785.07849548,,,,
2012-08-01,38946468.0,39546844.08130555,,,,
2012-09-01,39061424.0,39663523.476025455,,,,
2012-10-01,39237267.0,39835870.14267561,,,,
2012-11-01,39203945.0,39864173.14744103,,,,
2012-12-01,39075859.0,39850128.90425744,,,,
2013-01-01,39520274.0,40189405.39720417,,,,
2013-02-01,39773650.0,40380050.738526195,,,,
2013-03-01,39905175.0,40475753.63339739,,,,
2013-04-01,39719107.0,40441565.494425856,,,,
2013-05-01,40395039.0,40944541.15813639,,,,
2013-06-01,40100664.0,40802677.17649637,,,,
2013-07-01,40573313.0,41075064.08909193,,,,
2013-08-01,40890989.0,41339217.27836898,,,,
2013-09-01,40785782.0,41301157.77617169,,,,
2013-10-01,40918659.0,41432809.53348926,,,,
2013-11-01,40931618.0,41541115.278035246,,,,
2013-12-01,40959258.0,41542702.353757046,,,,
2014-01-01,41355487.0,41796471.55121057,,,,
2014-02-01,41682461.0,42098366.49959514,,,,
2014-03-01,41587638.0,42140242.809450746,,,,
2014-04-01,42080184.0,42536177.94261913,,,,
2014-05-01,42196608.0,42705261.35966424,,,,
2014-06-01,42686363.0,43061507.205160625,,,,
2014-07-01,42909594.0,43257450.0346272,,,,
2014-08-01,42833664.0,43223857.081543446,,,,
2014-09-01,43065604.0,43427269.972630136,,,,
2014-10-01,43041965.0,43508313.562515475,,,,
2014-11-01,42919754.0,43513226.66688087,,,,
2014-12-01,42988092.0,43638188.3107338,,,,
2015-01-01,41539132.0,42978649.6513656,,,,
2015-02-01,42395758.0,43557627.04392852,,,,
2015-03-01,42908167.0,43896339.88640841,,,,
2015-04-01,42961463.0,43990894.540026754,,,,
2015-05-01,43268403.0,44285831.16265311,,,,
2015-06-01,43688409.0,44616616.58786044,,,,
2015-07-01,44032725.0,44923760.87049157,,,,
2015-08-01,44211643.0,45051760.14574953,,,,
2015-09-01,44210057.0,45118381.90155688,,,,
2015-10-01,44158745.0,45124566.86985146,,,,
2015-11-01,44640122.0,45518655.53418991,,,,
2015-12-01,44590158.0,45395600.55927718,,,,
2016-01-01,45148997.0,45765534.779323705,,,,
2016-02-01,45498470.0,46085759.96194983,,,,
2016-03-01,45033283.0,45828369.04829958,,,,
2016-04-01,45462781.0,46172378.30028009,,,,
2016-05-01,45168072.0,45999488.086525895,,,,
2016-06-01,45622380.0,46394884.80287155,,,,
2016-07-01,45436118.0,46306768.90898959,,,,
2016-08-01,45622198.0,46441864.03281971,,,,
2016-09-01,46192583.0,46862170.0208643,46192583.0,46192583.0,46192583.0,46192583.0
2016-10-01,46481059.0,,46336084.10286998,46225883.94451127,46435923.5121989,46332905.20016202
2016-11-01,46758993.0,,46735700.97338747,46555989.75412291,46841083.94276016,46689216.89890392
2016-12-01,47286384.0,,46902398.34684693,46571311.364199854,47121699.190743275,46884040.682825565
2017-01-01,48568234.0,,47288572.13362109,46926042.81291293,47694236.85614535,47371059.75105616
2017-02-01,48022072.0,,48767663.40667036,48476627.4482014,48922683.79928725,48739882.00561926
2017-03-01,48131622.0,,48181857.99500303,47828417.871081114,48408543.49689189,48200652.49663578
2017-04-01,48989825.0,,48482666.785974756,48175466.033723824,48608035.197249904,48381160.633340806
2017-05-01,48892363.0,,48993149.12176258,48791999.988521904,49281253.37561519,49044736.78281545
2017-06-01,48931942.0,,49126059.47757035,49013115.74079958,49326287.8696906,49155804.11113103
2017-07-01,49015122.0,,49087554.26960794,48977370.89315256,49256495.33640419,49103285.50224513
2017-08-01,49071782.0,,49265820.50505784,49078763.25221449,49320884.66489927,49189116.27106551
2017-09-01,49008765.0,,49265227.520204,49068440.82838489,49363583.94891071,49239429.68313821
2017-10-01,50410330.0,,49132387.58190954,48791103.49138882,49272249.78767636,49101225.08696284
2017-11-01,50053362.0,,50649585.32881841,50429605.850372024,50838021.06249426,50615040.66129312
2017-12-01,50077941.0,,50233012.060935676,50020188.004886314,50432705.778478876,50258535.84626716
2018-01-01,50061338.0,,49610683.936106496,49340315.88716268,50623251.88475533,50028757.29226783
2018-02-01,49796692.0,,50063559.35465914,49975353.12340817,50429436.757194884,50222714.38473256
2018-03-01,49781124.0,,50137827.95339091,49916848.52830223,50261849.65898314,50087271.350217
2018-04-01,49972651.0,,50005111.432595655,49805463.062676735,50133518.99678238,49993130.31671011
2018-05-01,51326860.0,,50212168.12431122,50047851.897470266,50367601.70384933,50196402.20786496
2018-06-01,51112207.0,,51486427.78583746,51327171.29718927,51695767.89361946,51517309.39853717
2018-07-01,50769994.0,,51357507.09170478,51217810.29884601,51510685.69936538,51354729.55823055
2018-08-01,51034086.0,,50905165.005938664,50783213.105516896,51016562.01918797,50893797.21836504
2018-09-01,51231312.0,,51211614.48470177,51101978.77095851,51349297.477546364,51227654.82419013
2018-10-01,51406344.0,,51492497.761457644,51335892.197768755,51612168.35951633,51482530.636685036
2018-11-01,50544898.0,,51258790.00039542,50686879.16673377,51712740.02856338,51275848.661329575
2018-12-01,50862401.0,,50573303.93397007,50277530.27655953,50847427.153186634,50635867.87115907
2019-01-01,50435197.0,,50586108.71529196,50254374.31746517,51256931.14883696,50778324.676152445
2019-02-01,50488957.0,,50510019.60947885,50392388.66641098,50745714.4655693,50566420.15688449
2019-03-01,51132105.0,,50868468.59405236,50637266.10076267,50921074.50987354,50778849.1558816
2019-04-01,51429477.0,,51549339.165301114,51307309.0704321,51646185.55005694,51483227.76173377
2019-05-01,51851109.0,,51500152.729410596,51433289.49191056,51725847.6507807,51574722.40815009
2019-06-01,51506218.0,,52123889.89777412,51925289.83475781,52185352.734788135,52044450.14659937
2019-07-01,51781731.0,,51618798.404986024,51512803.37172032,51805913.37479071,51651409.12188262
2019-08-01,51713108.0,,52041356.74744682,51868845.192669556,52065124.25638643,51962372.33630188
2019-09-01,51642033.0,,51398514.51509941,51066572.12700726,51921848.18247854,51556133.478995584
2019-10-01,50948741.0,,51502030.8518696,51269157.303860344,51954884.1768987,51654460.55279861
2019-11-01,51270831.0,,51132703.911433175,50927655.03960107,51287346.68848176,51069564.0346385
2019-12-01,52344902.0,,51513365.056851074,51313409.66546876,51564966.85355951,51427802.580983594
2020-01-01,51930547.0,,52264681.06296407,51798313.95304626,52558573.50250388,52232573.418087855
2020-02-01,52136503.0,,52054765.208108366,51900413.095967405,52209113.79743378,52043574.252129175
2020-03-01,46059539.0,,51903373.35979108,51395353.63348857,52531759.83749789,51970362.255422056
2020-04-01,35195868.0,,45936155.31617923,45415468.52384238,46242287.38213848,45890731.513853185
2020-05-01,43643147.0,,34691891.77643071,34436811.5868232,35335114.485740446,34895806.13564956
2020-06-01,53418795.0,,45353689.002145626,44456727.857431985,45852349.41041832,45126293.2545016
2020-07-01,53426106.0,,54073401.65220297,53671929.554410644,54935400.18594733,54222380.233360216
2020-08-01,53254868.0,,53582261.03216199,53375941.41802712,53894821.40488276,53609445.365765184
2020-09-01,54870019.0,,53398208.60426588,53131839.74665098,53534696.39995465,53364740.39183402
2020-10-01,55517491.0,,54939141.24929637,54640596.85760708,55162423.834254645,54907130.35615307
2020-11-01,55562005.0,,55003749.72704482,54192239.55255859,55964353.90331622,55159355.45118823
2020-12-01,53315486.0,,54660611.04338022,52959384.8574464,54745246.33279026,53854766.59824722
2021-01-01,52260090.0,,53887227.46495795,53305116.299401365,54195052.46740762,53700906.36708542
2021-02-01,55786774.0,,52291126.29593611,52030432.215847306,52617419.76976741,52329201.508893654
2021-03-01,58522542.0,,56606336.232890256,55693533.12258615,57277559.651712224,56365520.7850347
2021-04-01,55624348.0,,58180624.85363001,57711045.57498649,58775766.947337344,58291092.55693542
2021-05-01,54540124.0,,55729781.27640654,55385147.769152634,56050576.889303856,55736440.90521619
2021-06-01,56792174.0,,55259187.60572577,54540536.07386316,55667129.06115306,55088172.625734575
2021-07-01,56785108.0,,57547277.17363101,57124110.480388686,57825095.14285907,57489576.20731139
2021-08-01,57699143.0,,56942326.65360784,56514142.66444378,57136060.543191515,56910913.8847907
2021-09-01,57201326.0,,56956699.19863404,56436473.60048561,57615502.25465163,57046049.43638691
2021-10-01,58218955.0,,57318910.79974014,57212324.534341544,57542990.287188835,57381343.94704711
2021-11-01,58750669.0,,58848760.86427642,58204432.047538266,58852078.359880045,58508217.5805627
2021-12-01,57919779.0,,56335002.675423436,56153321.371866226,57355056.911021076,56783160.548891045
2022-01-01,59857374.0,,57950471.06675895,57581626.345000796,58640522.07000286,58057954.02800443
2022-02-01,59899112.0,,60455174.55686068,60243683.88921698,61243249.81344276,60659737.461145744
2022-03-01,,,60305994.378414676,59959645.149726935,60722944.26700596,60353034.492440484
2022-04-01,,,60411554.47014197,59502273.373956695,60820161.34834171,60178234.47495085
